num_rules,average_rule_len,average_rule_usage,proportional_terminal_char,spam
196,5.02551,4.08673,0.385787,1
660,4.99545,4.80303,0.238702,1
372,4.6129,4.02957,0.34324,1
389,5.12596,4.57841,0.301906,1
92,6.18478,4.02174,0.511424,1
95,5.45263,3.89474,0.469112,1
6,11.3333,2.83333,0.838235,1
57,6.19298,3.52632,0.592068,1
39,7.28205,3.51282,0.65493,1
500,6.25,5.462,0.28608,1
105,5.50476,3.78095,0.49481,1
95,5.81053,3.84211,0.51087,1
2,25,2,0.96,1
45,7.15556,3.75556,0.614907,1
120,5.74167,3.875,0.499274,1
303,5.12871,4.32013,0.352638,1
51,6.35294,3.60784,0.589506,1
6,9.66667,2.83333,0.810345,1
46,6.43478,3.63043,0.591216,1
24,7.125,3.29167,0.678363,1
5,12.8,2.8,0.859375,1
11,9.54545,3,0.790476,1
141,5.7305,3.89362,0.49505,1
160,5.725,3.8,0.510917,1
51,5.92157,3.41176,0.592715,1
50,5.96,3.38,0.600671,1
16,7.4375,3.125,0.714286,1
209,5.89474,4.43541,0.417208,1
448,5.08705,4.56473,0.299254,1
80,6.1375,3.7,0.560081,1
8,10.5,3.5,0.761905,1
35,6.51429,3.4,0.631579,1
146,5.58904,4.09589,0.446078,1
38,7.13158,3.5,0.649446,1
45,5.93333,3.22222,0.625468,1
271,5.27306,4.27675,0.378586,1
5,10.2,2.6,0.843137,1
31,6.19355,3.09677,0.661458,1
690,4.95507,4.72029,0.249196,1
53,5.41509,3.35849,0.56446,1
18,7.61111,3.16667,0.715328,1
197,5.92893,4.4467,0.418664,1
313,5.14696,4.45687,0.328367,1
127,5.52756,3.69291,0.512821,1
4,13.25,2.5,0.886792,1
4,12.75,2.5,0.882353,1
62,5.91935,3.56452,0.566757,1
267,4.89513,4.06367,0.374139,1
363,5.12397,4.45455,0.325806,1
6,10.5,2.66667,0.84127,1
2,18,2,0.944444,1
4,13.25,2.5,0.886792,1
39,6.33333,3.48718,0.607287,1
6,10.3333,2.66667,0.83871,1
169,5.43195,4.05325,0.437908,1
2,18.5,2,0.945946,1
331,4.94562,4.17825,0.357361,1
4,17.25,2.5,0.913043,1
238,5.98319,4.63866,0.391854,1
626,5.20607,4.89137,0.252531,1
249,5.19679,4.34137,0.357032,1
50,5.56,3.4,0.568345,1
7,8.85714,2.71429,0.806452,1
77,5.94805,3.72727,0.541485,1
27,6.74074,3.37037,0.648352,1
325,6.40923,4.22769,0.496399,1
4,12.5,2.5,0.88,1
189,6.41799,3.89418,0.549052,1
261,5.63602,4.46743,0.384772,1
19,7.57895,3.15789,0.715278,1
33,6.84848,3.30303,0.663717,1
21,9.7619,3.47619,0.746341,1
5,11.6,2.6,0.862069,1
33,7.39394,3.51515,0.659836,1
91,5.89011,3.67033,0.546642,1
17,7.35294,2.94118,0.736,1
225,5.01778,3.91556,0.418955,1
107,6.03738,4.17757,0.473684,1
12,10.9167,3.33333,0.78626,1
169,5.82249,4.25444,0.441057,1
55,5.50909,3.54545,0.537954,1
213,5.79343,4.5446,0.388169,1
232,4.99138,3.92241,0.414508,1
188,5.95745,4.48404,0.415179,1
185,5.57297,4.3027,0.407371,1
111,5.48649,3.75676,0.497537,1
8,10,2.875,0.8125,1
23,6.17391,3.13043,0.65493,1
26,7.88462,3.38462,0.697561,1
34,7.26471,3.5,0.65587,1
82,5.65854,3.59756,0.540948,1
93,5.60215,3.76344,0.506718,1
182,5.71978,4.37363,0.410183,1
146,5.82192,4.14384,0.46,1
32,6.90625,3.34375,0.660633,1
82,5.86585,3.76829,0.528067,1
242,6.41736,3.96281,0.538313,1
190,5.80526,4.4,0.414325,1
31,8.58065,3.45161,0.714286,1
205,5.58049,4.26341,0.41521,1
137,5.62044,3.88321,0.487013,1
435,4.31724,3.94023,0.318956,1
89,5.47191,3.5618,0.531828,1
182,5.8956,3.67582,0.546132,1
58,6.01724,3.41379,0.598854,1
160,5.20625,3.9625,0.430972,1
222,5.00901,3.95045,0.410971,1
41,7,3.39024,0.658537,1
485,5.26392,4.84124,0.27027,1
60,5.75,3.31667,0.597101,1
45,6.55556,3.55556,0.610169,1
13,9.92308,3.38462,0.75969,1
1,33,1,1,1
105,6.04762,3.88571,0.522835,1
223,5.08072,3.96413,0.416593,1
137,6.05839,4.12409,0.484337,1
161,5.50932,4.03727,0.448703,1
344,5.18605,4.43023,0.338565,1
95,5.45263,3.67368,0.509653,1
3,16,2.33333,0.916667,1
215,5.14884,3.9907,0.419151,1
226,5.0177,3.9292,0.416226,1
10,7.7,2.9,0.753247,1
33,6.87879,3.42424,0.647577,1
238,4.94538,3.97899,0.397621,1
41,5.80488,3.41463,0.584034,1
32,6.625,3.5625,0.613208,1
300,6.4,4.05667,0.522396,1
516,5.15504,4.74031,0.274436,1
55,5.67273,3.56364,0.548077,1
65,5.44615,3.44615,0.550847,1
388,5.00773,4.2732,0.346372,1
50,5.74,3.5,0.56446,1
104,6.04808,4.04808,0.496025,1
322,5.07764,4.20497,0.368807,1
14,8,3,0.75,1
391,4.82609,4.29156,0.317965,1
174,6.87931,4.02874,0.559733,1
54,6.12963,3.61111,0.574018,1
93,6.01075,3.90323,0.516995,1
18,7.83333,3.38889,0.695035,1
45,6.28889,3.48889,0.60424,1
40,6.975,3.4,0.655914,1
87,6.18391,3.78161,0.550186,1
91,5.83516,3.82418,0.516008,1
610,6.39508,5.72295,0.261471,1
37,6.56757,3.62162,0.600823,1
