num_rules,average_rule_len,average_rule_usage,proportional_terminal_char,spam
175,5.16571,4.07429,0.404867,0
79,5.59494,3.59494,0.536199,0
31,6.70968,3.51613,0.625,0
155,5.24516,3.96129,0.435424,0
165,5.18788,3.89697,0.441589,0
477,5,4.53249,0.293501,0
346,5.16185,4.42486,0.336506,0
267,5.30712,4.32959,0.372618,0
54,5.5,3.46296,0.552189,0
109,5.21101,3.62385,0.496479,0
102,4.86275,3.52941,0.479839,0
52,5.71154,3.42308,0.575758,0
347,4.95965,4.37176,0.320163,0
125,5.44,3.824,0.480882,0
22,7.72727,3.54545,0.670588,0
70,5.6,3.67143,0.522959,0
58,5.55172,3.48276,0.552795,0
291,4.76632,4.1134,0.346792,0
11,10.2727,3.09091,0.79646,0
159,5.14465,4.00629,0.415648,0
343,4.9242,4.39359,0.310835,0
57,6.03509,3.54386,0.578488,0
7,10.5714,2.85714,0.824324,0
88,5.44318,3.88636,0.469729,0
184,4.93478,3.88587,0.415198,0
13,9.84615,3.15385,0.78125,0
139,5.00719,3.66906,0.466954,0
21,8.09524,3.19048,0.729412,0
165,5.25455,3.91515,0.445213,0
85,5.30588,3.50588,0.527716,0
38,5.94737,3.44737,0.588496,0
316,5,4.39241,0.321519,0
544,5.125,4.77206,0.263989,0
107,5.76636,3.74766,0.523501,0
304,5.11842,4.41776,0.332262,0
109,5.3945,3.74312,0.491497,0
71,5.91549,3.46479,0.583333,0
375,4.912,4.40267,0.307275,0
36,5.55556,3.13889,0.615,0
29,5.86207,3.06897,0.647059,0
11,8.18182,2.81818,0.777778,0
209,5.22488,4.05263,0.415751,0
19,6.94737,3.26316,0.674242,0
205,4.90244,3.93659,0.400995,0
23,6.82609,2.91304,0.719745,0
87,5.58621,3.49425,0.553498,0
125,5.448,3.88,0.471366,0
69,5.78261,3.6087,0.548872,0
242,4.99174,4.12397,0.374172,0
14,7.78571,3,0.743119,0
31,5.51613,3.22581,0.596491,0
196,5.02551,3.95408,0.412183,0
51,5.84314,3.58824,0.557047,0
106,5.39623,3.73585,0.493007,0
374,5.16043,4.5615,0.309845,0
113,5.40708,3.78761,0.484452,0
7,9.85714,2.85714,0.811594,0
84,5.52381,3.47619,0.551724,0
536,4.83209,4.59142,0.256757,0
127,5.18898,3.59843,0.499241,0
26,6.69231,3.03846,0.695402,0
36,6.02778,3.38889,0.603687,0
26,6.65385,3.23077,0.66474,0
54,5.62963,3.31481,0.588816,0
85,5.85882,3.83529,0.516064,0
113,5.04425,3.65487,0.473684,0
72,5.625,3.59722,0.538272,0
94,5.67021,3.7766,0.510319,0
192,5.25521,3.96875,0.435084,0
55,6.43636,3.52727,0.607345,0
50,6.4,3.5,0.609375,0
157,4.83439,3.68153,0.445323,0
25,7.92,3.16,0.727273,0
61,5.72131,3.45902,0.570201,0
135,4.77037,3.54074,0.467391,0
61,5.93443,3.68852,0.546961,0
23,6.65217,3.21739,0.666667,0
63,5.42857,3.46032,0.546784,0
464,4.80388,4.45905,0.279946,0
363,5.12948,4.53444,0.310956,0
36,6.66667,3.52778,0.620833,0
92,5.21739,3.56522,0.508333,0
26,6.84615,3.07692,0.696629,0
32,6.875,3.21875,0.677273,0
76,5.14474,3.42105,0.529412,0
438,4.99087,4.57078,0.284538,0
77,5.41558,3.5974,0.520384,0
83,5.38554,3.62651,0.512304,0
31,7.45161,3.32258,0.688312,0
75,5.08,3.52,0.503937,0
64,5.73438,3.625,0.542234,0
36,5.86111,3.13889,0.635071,0
105,5.1619,3.64762,0.487085,0
81,5.75309,3.65432,0.538627,0
195,5.1641,4.04103,0.411122,0
6,11.3333,2.66667,0.852941,0
28,7,3.39286,0.658163,0
125,5.16,3.776,0.462016,0
43,6.09302,3.27907,0.625954,0
75,5.93333,3.76,0.534831,0
874,5.01259,4.88444,0.225063,0
37,6.18919,3.32432,0.624454,0
11,8.09091,2.81818,0.775281,0
174,5.01149,3.7931,0.442661,0
46,5.95652,3.3913,0.59854,0
102,5.39216,3.59804,0.518182,0
339,5.09145,4.50737,0.311124,0
5,13.4,2.8,0.865672,0
125,5.024,3.72,0.458599,0
82,5.34146,3.47561,0.53653,0
228,4.98684,4.10526,0.377309,0
79,5.78481,3.53165,0.562363,0
91,5.68132,3.74725,0.516441,0
163,4.79141,3.79141,0.417414,0
62,5.91935,3.59677,0.561308,0
278,4.66187,4.03237,0.349537,0
67,5.34328,3.49254,0.53352,0
159,4.75472,3.73585,0.424603,0
209,5.04306,4.0622,0.392789,0
191,5.41885,3.93194,0.458937,0
131,5.15267,3.8626,0.444444,0
160,5.41875,4.08125,0.431373,0
299,5.33779,4.31438,0.379073,0
779,4.83184,4.70218,0.233794,0
108,5.43519,3.77778,0.488927,0
100,5.68,3.7,0.524648,0
344,4.98547,4.35756,0.326531,0
76,5.42105,3.56579,0.526699,0
28,7.32143,3.32143,0.682927,0
189,4.88889,3.95238,0.396104,0
16,8.1875,3.1875,0.732824,0
41,6.58537,3.34146,0.644444,0
204,5.2598,4,0.429637,0
223,5.08969,4.15695,0.379736,0
203,5.49754,4.26601,0.405914,0
49,5.83673,3.46939,0.576923,0
42,6.5,3.69048,0.586081,0
130,5.19231,3.68462,0.482963,0
276,5.11594,4.31522,0.351983,0
236,5.25847,4.2839,0.375504,0
170,5.34706,4.09412,0.421342,0
33,6.48485,3.39394,0.630841,0
145,4.77931,3.72414,0.430014,0
64,5.23438,3.42188,0.537313,0
89,5.70787,3.78652,0.511811,0
26,6.84615,3.26923,0.668539,0
124,5.04839,3.75806,0.453674,0
39,5.74359,3.15385,0.625,0
259,4.98069,4.15058,0.367442,0
16,8.1875,2.9375,0.763359,0
22,7.68182,3.36364,0.692308,0
47,6.2766,3.38298,0.620339,0
4,8,2.5,0.8125,0
121,5.15702,3.87603,0.442308,0
286,4.93007,4.15385,0.360284,0
449,4.65479,4.29176,0.292823,0
231,5.36364,4.21645,0.400323,0
33,6.72727,3.30303,0.657658,0
110,5.23636,3.84545,0.456597,0
519,4.74374,4.35067,0.293664,0
396,4.7803,4.30303,0.309033,0
236,5.25847,4.2839,0.375504,0
38,6.55263,3.31579,0.646586,0
159,4.91195,3.73585,0.443022,0
35,6.54286,3.28571,0.650655,0
47,5.82979,3.38298,0.591241,0
18,8.61111,3.05556,0.76129,0
355,4.89014,4.25915,0.333525,0
8,10.875,3,0.816092,0
370,4.8973,4.38919,0.307947,0
57,5.82456,3.57895,0.557229,0
220,5.17727,4.20455,0.381036,0
37,6.54054,3.45946,0.623967,0
88,5.67045,3.53409,0.553106,0
27,7.18519,3.25926,0.685567,0
754,5.08223,5.01592,0.209812,0
162,5.04321,3.90123,0.424725,0
231,4.88745,4.12987,0.35961,0
54,5.85185,3.46296,0.579114,0
63,5.26984,3.31746,0.560241,0
98,5.31633,3.77551,0.477927,0
26,6.42308,3.15385,0.664671,0
40,6.725,3.4,0.643123,0
60,5.8,3.25,0.612069,0
16,7.875,3.25,0.714286,0
328,5.14024,4.52744,0.31376,0
18,8,3.11111,0.736111,0
117,4.96581,3.55556,0.48537,0
129,5.27907,3.83721,0.462555,0
62,5.32258,3.54839,0.521212,0
9,9.44444,3,0.788235,0
225,4.81333,3.99111,0.378578,0
154,4.98052,3.91558,0.414602,0
106,5.5,3.87736,0.476844,0
94,5.40426,3.82979,0.476378,0
89,5.23596,3.70787,0.482833,0
230,4.71304,3.92174,0.380074,0
140,5.00714,3.85,0.430813,0
328,5.08537,4.35061,0.341127,0
12,9.16667,3,0.781818,0
61,6.37705,3.62295,0.588689,0
6,9.83333,2.66667,0.830508,0
44,5.77273,3.27273,0.606299,0
36,6.55556,3.25,0.65678,0
3,14.6667,2.33333,0.909091,0
277,5.15162,4.23466,0.372109,0
11,8.09091,2.81818,0.775281,0
67,5.53731,3.47761,0.552561,0
38,6.26316,3.39474,0.617647,0
5,11.8,3,0.830508,0
101,5.36634,3.69307,0.498155,0
15,7.4,2.93333,0.738739,0
104,5.42308,3.90385,0.464539,0
223,4.84753,4.00897,0.379278,0
5,14.4,2.8,0.875,0
32,5.40625,3.21875,0.589595,0
39,6.02564,3.35897,0.608511,0
32,6.875,3.28125,0.668182,0
48,5.66667,3.47917,0.5625,0
16,8.0625,3.25,0.72093,0
39,5.82051,3.23077,0.61674,0
25,6.8,3.24,0.670588,0
131,4.89313,3.70229,0.447738,0
86,5.60465,3.7907,0.502075,0
54,5.74074,3.57407,0.551613,0
45,5.44444,3.2,0.595918,0
38,6.34211,3.28947,0.639004,0
351,5.06838,4.27635,0.353569,0
151,4.95364,3.72185,0.450535,0
249,4.73092,4.00402,0.365025,0
406,4.92857,4.31281,0.327836,0
39,6.61538,3.48718,0.624031,0
133,5.11278,3.91729,0.429412,0
106,5.16981,3.5566,0.505474,0
109,5.22018,3.78899,0.465729,0
171,4.76608,3.79532,0.413497,0
35,6.25714,3.25714,0.639269,0
13,8.23077,3.15385,0.738318,0
21,7.95238,3.2381,0.718563,0
364,4.5467,4.14286,0.308761,0
11,9,3,0.777778,0
314,4.90127,4.31847,0.322937,0
25,6.4,3.16,0.6625,0
188,4.8617,3.79787,0.424508,0
33,6.57576,3.27273,0.654378,0
188,5.17553,4.22872,0.376156,0
54,5.94444,3.51852,0.576324,0
12,9.08333,3.08333,0.770642,0
68,5.75,3.55882,0.554987,0
112,5.32143,3.89286,0.456376,0
234,5.14103,4.19231,0.379052,0
44,5.84091,3.5,0.571984,0
39,5.74359,3.30769,0.598214,0
28,5.78571,3.10714,0.635802,0
218,5.06422,4.06422,0.394928,0
248,4.77419,3.9879,0.374155,0
371,4.91914,4.44205,0.300274,0
96,6.02083,3.77083,0.539792,0
37,6.21622,3.18919,0.647826,0
492,4.69715,4.35569,0.285591,0
20,7.6,3.2,0.710526,0
78,5.60256,3.42308,0.567506,0
9,9.55556,2.88889,0.802326,0
252,5.19444,4.2619,0.37204,0
16,8.0625,3.0625,0.744186,0
261,5.19157,4.15709,0.391882,0
227,5.12775,4.15419,0.38488,0
17,7.47059,3.17647,0.708661,0
98,4.93878,3.59184,0.475207,0
54,6.03704,3.61111,0.567485,0
52,5.67308,3.36538,0.583051,0
222,5.04054,4.01802,0.401251,0
109,5.23853,3.6789,0.488616,0
133,5.2406,3.84962,0.456241,0
4,13.75,2.5,0.890909,0
22,6.90909,3.13636,0.690789,0
23,6.52174,3.04348,0.686667,0
151,5.42384,4.06623,0.434676,0
156,5.34615,4.01282,0.436451,0
153,5.11111,3.91503,0.429668,0
38,6.47368,3.39474,0.630081,0
72,5.84722,3.69444,0.539192,0
225,5.07111,4.00889,0.406661,0
57,6.08772,3.64912,0.564841,0
323,4.80186,4.18266,0.337202,0
17,7.70588,3.11765,0.725191,0
115,5.31304,3.75652,0.481178,0
472,4.71186,4.17373,0.326439,0
65,6.15385,3.70769,0.56,0
40,5.975,3.375,0.60251,0
40,6.575,3.4,0.634981,0
65,5.52308,3.36923,0.571031,0
80,5.2625,3.5375,0.517815,0
37,6.59459,3.37838,0.639344,0
88,5.98864,3.84091,0.525617,0
247,4.71255,4.01619,0.359966,0
162,5.07407,3.87037,0.434307,0
108,4.77778,3.5463,0.467054,0
62,5.6129,3.53226,0.548851,0
135,5.01481,3.65926,0.469719,0
70,5.98571,3.81429,0.529833,0
97,5.39175,3.70103,0.499044,0
58,5.55172,3.5,0.549689,0
90,5.4,3.58889,0.520576,0
55,5.89091,3.56364,0.564815,0
123,5.17886,3.84553,0.450549,0
490,4.90816,4.55306,0.276091,0
282,4.97518,4.2695,0.342837,0
64,5.70312,3.60938,0.542466,0
9,11.2222,2.88889,0.831683,0
100,5.59,3.77,0.504472,0
229,5.0655,4.22707,0.362931,0
158,5.06329,3.85443,0.43625,0
106,5.50943,3.77358,0.496575,0
50,5.46,3.28,0.582418,0
45,5.93333,3.28889,0.614232,0
191,5.2199,4.23037,0.381143,0
51,5.29412,3.29412,0.566667,0
96,5.25,3.61458,0.501984,0
52,6.07692,3.5,0.588608,0
20,6.65,3.2,0.669173,0
186,4.94624,3.97312,0.398913,0
13,7.84615,3.07692,0.735294,0
6,11.3333,3,0.823529,0
234,5.18803,4.17094,0.388797,0
61,5.93443,3.60656,0.560773,0
734,4.86785,4.84877,0.209348,0
48,5.9375,3.33333,0.607018,0
16,7.125,3.0625,0.710526,0
275,4.94182,4.17818,0.35688,0
173,4.56069,3.62428,0.424588,0
258,5.01938,4.21705,0.359073,0
71,5.8169,3.56338,0.559322,0
55,5.76364,3.27273,0.605678,0
28,5.92857,3.25,0.620482,0
77,5.84416,3.71429,0.535556,0
45,6.73333,3.62222,0.610561,0
8,7.875,3,0.746032,0
572,4.7465,4.58566,0.244567,0
130,5.40769,3.96154,0.452347,0
250,5.128,4.168,0.382215,0
256,5.14453,4.19922,0.378132,0
90,5.13333,3.71111,0.471861,0
458,4.89956,4.45633,0.294563,0
53,5.84906,3.49057,0.574194,0
322,4.95652,4.36335,0.321429,0
9,8.44444,3,0.763158,0
264,4.88258,4.14773,0.355314,0
7,10.7143,2.85714,0.826667,0
346,4.90462,4.35549,0.315852,0
24,7.04167,3.125,0.698225,0
162,4.98765,3.80864,0.436881,0
92,5.48913,3.69565,0.508911,0
370,5.14865,4.5,0.32021,0
30,6.26667,3.23333,0.643617,0
105,5.42857,3.52381,0.535088,0
9,7.44444,3.11111,0.716418,0
322,4.86646,4.2764,0.326739,0
44,5.75,3.40909,0.581028,0
58,5.58621,3.41379,0.567901,0
22,6.90909,3.18182,0.684211,0
122,5,3.77049,0.445902,0
67,5.07463,3.41791,0.523529,0
319,5.04075,4.3511,0.335199,0
329,5.11246,4.5076,0.313912,0
147,5.10884,3.91837,0.428762,0
8,11.25,3,0.822222,0
95,5.26316,3.58947,0.508,0
21,7.2381,3.09524,0.710526,0
154,5.0974,3.86364,0.438217,0
69,5.73913,3.62319,0.542929,0
586,4.64676,4.44198,0.259273,0
30,6.06667,3.23333,0.631868,0
39,6.53846,3.4359,0.627451,0
73,5.49315,3.78082,0.493766,0
128,5.08594,3.67969,0.473118,0
16,8.0625,3,0.751938,0
39,6.58974,3.4359,0.63035,0
5,11,2.6,0.854545,0
28,7.25,3.28571,0.684729,0
31,6.3871,3.16129,0.661616,0
273,5.1978,4.2381,0.377026,0
21,6.90476,3.14286,0.689655,0
393,4.43511,4.0458,0.313253,0
20,8.9,3.2,0.752809,0
37,6.16216,3.35135,0.618421,0
48,5.41667,3.25,0.584615,0
131,4.9542,3.69466,0.456086,0
22,6.5,3.09091,0.678322,0
36,6.58333,3.61111,0.603376,0
18,7.5,3.33333,0.688889,0
23,6.26087,3.13043,0.659722,0
61,5.57377,3.45902,0.558824,0
8,8.75,2.75,0.8,0
231,4.98701,3.94805,0.408854,0
101,5.36634,3.60396,0.51476,0
188,5.0266,3.81915,0.439153,0
42,6.09524,3.52381,0.585938,0
32,6.53125,3.3125,0.645933,0
203,4.7734,3.76355,0.421053,0
521,4.82917,4.5048,0.274245,0
11,8.45455,2.90909,0.774194,0
51,5.84314,3.33333,0.600671,0
6,8,2.83333,0.770833,0
110,5.15455,3.9,0.43739,0
39,6.4359,3.41026,0.625498,0
8,8.375,2.875,0.776119,0
15,9.93333,3.33333,0.765101,0
